Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
0.341866666666667,0.0496,0.3565,0.149633333333333,0.0597666666666667,0.0961666666666667,0.1184,0.183233333333333,0.0053,0.0795
0.3486,0.8713,0.4635,0.1871,0.0992333333333333,0.182,0.126266666666667,0.213966666666667,0.1001,0.146633333333333
0.394033333333333,2.28093333333333,1.5243,0.391133333333333,0.13,0.3707,0.130933333333333,1.45563333333333,0.111033333333333,0.1579
0.3957,2.48293333333333,1.53023333333333,0.395833333333333,0.4281,0.3882,0.194,1.472,0.115466666666667,0.1612
0.4582,2.93663333333333,1.8879,0.4589,0.440633333333333,0.417466666666667,2.0567,1.54806666666667,0.145266666666667,0.3748
1.3075,2.9438,2.67716666666667,0.881,0.4768,0.500533333333333,4.11843333333333,2.34056666666667,0.1656,0.392266666666667
1.52836666666667,3.23963333333333,2.68486666666667,1.51733333333333,0.493966666666667,0.5032,4.12006666666667,4.083,0.413166666666667,0.4051
1.8143,3.2963,2.69203333333333,1.52793333333333,1.26303333333333,0.6064,4.22513333333333,7.46556666666667,0.4155,0.4294
1.83003333333333,3.34723333333333,2.91073333333333,2.59913333333333,1.53433333333333,0.828433333333333,4.9636,7.86263333333333,0.4613,0.441033333333333
1.83586666666667,3.74946666666667,2.9398,2.70863333333333,1.58406666666667,0.8754,4.976,8.37553333333333,0.5299,0.557433333333333
1.8419,3.75606666666667,3.72123333333333,2.71403333333333,1.59156666666667,0.888133333333333,5.00366666666667,8.92676666666667,0.533933333333333,0.646366666666667
1.8464,3.7629,3.78863333333333,2.9107,1.63286666666667,0.896433333333333,5.02656666666667,9.17776666666667,0.542766666666667,0.882266666666667
1.8571,3.77236666666667,4.0045,2.92656666666667,1.89536666666667,1.27796666666667,5.09103333333333,9.60263333333333,0.5451,0.903233333333333
1.8624,3.9373,4.07953333333333,3.14653333333333,2.16523333333333,1.47756666666667,5.61263333333333,10.9937,0.5475,1.01303333333333
1.8717,4.0762,5.4286,3.7604,2.19003333333333,1.4885,5.75283333333333,11.0586333333333,0.585366666666667,1.0696
1.87336666666667,4.08276666666667,5.43343333333333,3.76576666666667,2.2557,1.83386666666667,5.77203333333333,11.2848333333333,0.596866666666667,1.53103333333333
1.8776,4.10186666666667,6.43643333333333,3.81523333333333,2.42076666666667,1.85186666666667,5.85636666666667,11.2921333333333,0.894166666666667,1.53766666666667
2.60556666666667,4.11733333333333,6.4969,4.0646,2.6646,1.89173333333333,5.95326666666667,11.3012666666667,2.2596,1.5397
2.61293333333333,4.12486666666667,6.54936666666667,4.53826666666667,2.6733,1.99636666666667,5.96313333333333,11.3267333333333,2.47266666666667,2.05616666666667
2.65163333333333,4.94833333333333,6.95476666666667,4.5426,2.6853,2.0033,6.30006666666667,11.3508,2.60746666666667,2.07163333333333
2.65536666666667,4.9734,7,4.89876666666667,2.70096666666667,2.27206666666667,6.3096,11.369,2.65146666666667,2.14576666666667
2.66206666666667,5.02573333333333,7.01253333333333,5.0094,2.71103333333333,2.29053333333333,7.4273,11.3783333333333,2.67933333333333,2.19263333333333
2.6933,5.02746666666667,7.4487,5.0151,2.7763,2.29673333333333,7.93856666666667,11.3870333333333,2.79406666666667,2.2402
2.6959,5.38763333333333,10.5975333333333,5.0502,2.7785,2.2984,8.10736666666667,11.3912,3.37296666666667,2.43683333333333
2.7288,5.39786666666667,10.6275,5.10506666666667,2.81816666666667,2.48286666666667,10.9411333333333,11.3988333333333,3.38686666666667,2.46743333333333
2.89346666666667,5.43023333333333,10.963,5.3274,2.8791,2.5304,10.9496333333333,11.4005,3.3918,2.88276666666667
2.90643333333333,5.43683333333333,10.9754,5.36123333333333,2.9083,2.6245,12.7791333333333,11.4047666666667,3.54036666666667,2.90583333333333
3.18383333333333,6.24846666666667,11.3693666666667,5.36553333333333,2.91013333333333,2.90636666666667,12.7993333333333,11.6565333333333,3.5543,2.9388
3.18876666666667,6.5071,11.9274,5.4066,2.91766666666667,3.15746666666667,12.8074666666667,11.6665666666667,3.7895,3.0406
3.25916666666667,6.52356666666667,12.0951666666667,5.42173333333333,2.91953333333333,3.18256666666667,12.8514666666667,11.6726333333333,3.9782,3.05863333333333
3.2613,6.52746666666667,13.7520333333333,5.42336666666667,2.92686666666667,3.3859,12.8767666666667,11.6839,3.99166666666667,3.39116666666667
3.26446666666667,6.5435,13.7766,6.20653333333333,2.94686666666667,3.41026666666667,12.8903333333333,11.6961333333333,4.00393333333333,3.6893
3.28676666666667,6.55396666666667,13.8171333333333,6.2501,2.9491,3.43636666666667,12.8984333333333,11.7698666666667,4.01513333333333,3.7238
3.28906666666667,6.93556666666667,13.8328333333333,6.28776666666667,3.05973333333333,3.60173333333333,12.9022,11.8714,4.06483333333333,3.76543333333333
3.3025,6.9409,14.3129333333333,6.2937,3.27926666666667,3.6888,12.9069,12.0850333333333,5.00153333333333,3.7747
3.31676666666667,6.95036666666667,15.1090666666667,6.30336666666667,3.45436666666667,3.7196,12.9571666666667,12.1020333333333,5.01056666666667,3.7808
3.35436666666667,6.957,16.4667,6.30923333333333,3.73136666666667,3.807,13.0561666666667,12.1045666666667,5.0239,3.91386666666667
3.35823333333333,6.95863333333333,16.4866333333333,6.32076666666667,3.73583333333333,3.85123333333333,13.0698333333333,12.1321,5.03916666666667,3.99686666666667
3.3805,6.98643333333333,16.513,6.88683333333333,3.76986666666667,3.9847,15.7024666666667,12.1339,5.0559,4.00856666666667
3.49023333333333,7.0024,16.5193,6.88846666666667,3.7933,3.99756666666667,15.8111333333333,12.1693666666667,5.06136666666667,4.0253
3.77566666666667,7.00403333333333,16.5374666666667,6.89766666666667,4.00003333333333,4.0174,16.5015333333333,12.2115333333333,5.0725,4.05096666666667
3.78776666666667,7.0362,16.5585,6.91103333333333,4.96453333333333,4.48836666666667,17.509,12.2182,5.1237,4.13103333333333
3.80126666666667,7.3883,18.0441333333333,7.00906666666667,5.06166666666667,4.5043,18.1026666666667,12.2409,5.79746666666667,4.15846666666667
3.81613333333333,7.41026666666667,18.0738,7.01336666666667,5.0886,4.60756666666667,18.2428,12.2451333333333,5.97716666666667,4.17693333333333
3.95293333333333,7.42546666666667,18.0886,7.37566666666667,5.09233333333333,4.74646666666667,20.4092,12.2864666666667,5.9983,5.03063333333333
3.96343333333333,9.13056666666667,18.0958666666667,7.4118,5.24456666666667,4.79486666666667,20.5204333333333,13.1769666666667,6.2304,5.05416666666667
3.97836666666667,9.48676666666667,18.1130666666667,7.42493333333333,5.25636666666667,4.95676666666667,20.5306,13.3929333333333,6.23373333333333,5.05633333333333
3.98736666666667,9.50766666666667,18.1416666666667,7.44766666666667,5.30123333333333,5.3579,20.5809333333333,15.5766666666667,6.23973333333333,5.06893333333333
4.0053,9.51126666666667,18.1629333333333,7.46586666666667,5.32143333333333,5.40263333333333,20.8432333333333,15.5951333333333,6.24603333333333,5.07106666666667
4.0118,9.52046666666667,18.2069333333333,7.78416666666667,5.32306666666667,5.81006666666667,20.8489,17.8539333333333,6.28063333333333,5.07916666666667
4.06276666666667,9.55583333333333,18.7201666666667,7.80943333333333,5.36743333333333,5.8155,20.9171666666667,18.9696666666667,6.30473333333333,5.0903
4.3669,10.6140666666667,18.8158,7.8135,5.37906666666667,5.82046666666667,22.1075666666667,18.9906666666667,6.33396666666667,5.33566666666667
4.37916666666667,10.9174,18.8548333333333,7.81566666666667,5.4035,5.83886666666667,22.2266333333333,19.0641666666667,6.347,5.4028
4.96096666666667,10.9315,18.8754666666667,7.82923333333333,5.44746666666667,5.90456666666667,22.2508666666667,19.0720333333333,6.38963333333333,5.42046666666667
5.0028,10.9553666666667,18.8938333333333,7.8538,5.45456666666667,6.25096666666667,22.2816666666667,19.0972333333333,6.3981,5.44803333333333
5.01016666666667,10.9610666666667,19.8807,7.91593333333333,5.57756666666667,6.42496666666667,22.5225333333333,19.3106666666667,6.40716666666667,5.92303333333333
5.2943,10.9919333333333,19.9999666666667,7.9263,5.59416666666667,6.4299,23.5802333333333,19.5085,6.42186666666667,6.22853333333333
5.31576666666667,11.3666666666667,20.3839333333333,7.95523333333333,5.63526666666667,6.69816666666667,24.3491333333333,19.6008333333333,6.44723333333333,6.25186666666667
5.33956666666667,11.3863666666667,20.781,8.34743333333333,5.71253333333333,6.81743333333333,24.4003,19.8870666666667,6.87596666666667,6.29023333333333
6.42486666666667,11.4058,21.6668333333333,8.35393333333333,5.75016666666667,6.8301,24.5616666666667,20.4133333333333,6.88456666666667,6.3357
6.46023333333333,11.4129333333333,21.6865666666667,8.35586666666667,5.78113333333333,6.84576666666667,24.5633333333333,20.8034333333333,6.892,6.88586666666667
6.5176,11.4174,22.1063333333333,8.38186666666667,5.78763333333333,6.874,27.8209,20.8148,6.90156666666667,6.90856666666667
6.53456666666667,11.4329333333333,22.1248,8.8764,5.7959,6.97253333333333,27.8228333333333,21.6683666666667,6.91026666666667,6.92966666666667
6.95326666666667,11.4396666666667,22.1392666666667,8.8846,5.82516666666667,6.97563333333333,27.8522333333333,21.6863333333333,6.92883333333333,6.9403
7.02203333333333,11.4590666666667,22.1533666666667,8.89966666666667,5.88296666666667,7.18043333333333,28.8742333333333,21.7329666666667,6.9383,6.9475
7.05533333333333,11.4666,22.1614,8.90326666666667,5.89936666666667,7.37736666666667,29.4398333333333,23.5687666666667,6.94856666666667,6.95166666666667
7.40006666666667,11.4874666666667,22.1681333333333,8.91803333333333,5.90373333333333,7.383,29.4629666666667,23.7902333333333,6.9533,6.97253333333333
7.4116,11.5128333333333,22.5216333333333,8.93946666666667,5.94243333333333,7.40576666666667,29.4805,24.3273666666667,6.97176666666667,6.99123333333333
7.43873333333333,12.0440666666667,22.633,8.95493333333333,5.96,7.40853333333333,29.9390666666667,24.3623333333333,6.98293333333333,6.99486666666667
7.4496,12.1042666666667,22.6589666666667,9.50813333333333,5.96636666666667,7.4109,29.9459333333333,24.4529666666667,7.4371,7.02576666666667
7.64113333333333,12.1335666666667,22.7173,9.52026666666667,6.01833333333333,7.42406666666667,29.9476666666667,24.4775333333333,7.63096666666667,7.37846666666667
7.6618,12.1440333333333,22.723,9.52276666666667,6.04786666666667,7.43186666666667,30.027,24.8467333333333,7.66876666666667,7.4131
7.78986666666667,12.1498333333333,22.7314333333333,9.52546666666667,6.04996666666667,7.61123333333333,30.0954666666667,24.8693333333333,7.68713333333333,7.43083333333333
8.19376666666667,12.1515666666667,22.7343333333333,9.54623333333333,6.05876666666667,7.64393333333333,34.0804,25.7408,7.70313333333333,7.64
8.32326666666667,12.1570666666667,23.0949,9.55196666666667,6.06316666666667,7.82373333333333,34.0836,25.8013,7.74593333333333,7.7965
8.32493333333333,12.1638666666667,23.1181,9.82026666666667,6.07303333333333,7.87903333333333,34.4985,26.5967666666667,7.7772,7.82006666666667
8.43916666666667,12.9605666666667,23.1383666666667,10.6212333333333,6.08876666666667,7.9077,34.5009666666667,26.8174666666667,7.8255,7.82976666666667
9.13043333333333,13.3544333333333,23.2459333333333,10.9106666666667,6.18453333333333,8.0901,35.4213666666667,26.8319333333333,7.8394,7.8954
9.13663333333333,13.3600666666667,23.3848,10.9216666666667,6.1884,8.10563333333333,36.6344666666667,27.2384,7.9335,7.91916666666667
9.4022,13.3697,23.3963333333333,10.9780666666667,6.344,8.1155,37.4689,27.728,8.0728,7.92603333333333
9.5619,13.4066666666667,23.4218666666667,11.0241666666667,6.34596666666667,8.17366666666667,37.6342666666667,27.7752666666667,8.0871,7.94246666666667
9.564,13.4150333333333,23.5401,11.3485333333333,6.36636666666667,8.24006666666667,38.7562,29.4702333333333,8.11786666666667,8.05323333333333
10.5871,13.4402666666667,23.5691,11.3545,6.4024,8.26433333333333,38.7693666666667,29.5055,8.1198,8.07193333333333
10.5917333333333,13.4664666666667,23.6289,11.4580666666667,6.42106666666667,8.35386666666667,38.884,30.0855,8.60656666666667,8.09923333333333
10.5947333333333,13.4815666666667,23.6422666666667,11.8863,6.4227,8.3911,38.9375666666667,30.1325666666667,8.60963333333333,8.11196666666667
10.6035,13.7231333333333,23.7077333333333,11.8962333333333,6.67803333333333,8.45483333333333,38.9400333333333,31.7533333333333,8.61606666666667,8.2953
10.6124666666667,13.738,24.1218333333333,11.9360333333333,6.893,8.57623333333333,38.945,33.2743666666667,8.6236,8.33226666666667
10.6155,13.7433,24.1519333333333,12.1067,6.91696666666667,8.5851,38.9682333333333,34.1000666666667,8.6256,8.63616666666667
10.6172,13.7502666666667,24.1837666666667,12.6075,6.92993333333333,8.72126666666667,40.0280333333333,34.8863333333333,8.63083333333333,9.09303333333333
10.6288333333333,13.7548,24.2276333333333,12.8248666666667,6.9334,8.7301,40.0362666666667,36.635,8.63936666666667,9.10346666666667
10.9421666666667,13.7575,24.2431,12.8597666666667,6.93516666666667,8.89393333333333,40.0388333333333,36.6619,8.6576,9.1075
10.9523,13.7702,24.2732,12.8818333333333,6.93923333333333,8.9081,40.0439,36.6911666666667,8.77866666666667,9.13533333333333
10.9731333333333,13.7823,24.3558666666667,12.9189333333333,6.94966666666667,8.94883333333333,42.6612333333333,36.7119666666667,8.929,9.15433333333333
11.4588,13.7863,25.6402333333333,12.9242333333333,6.95866666666667,9.02223333333333,42.8416333333333,37.3397666666667,9.1274,9.16346666666667
11.4606333333333,13.7989,25.7510666666667,13.0041333333333,6.9783,9.06916666666667,42.8503666666667,40.0654,9.33483333333333,9.51283333333333
11.5218666666667,13.8146666666667,27.7574333333333,13.0646,7.211,9.10306666666667,42.8694333333333,41.0424,9.37743333333333,9.54773333333333
11.5743333333333,14.3269,27.7612666666667,13.0757666666667,7.21636666666667,9.17656666666667,42.8840333333333,41.0758333333333,9.54763333333333,9.57843333333333
11.5775333333333,14.3394666666667,27.7714333333333,13.1028333333333,7.2208,9.30273333333333,43.3529666666667,41.0939,9.55156666666667,9.65336666666667
11.5851333333333,14.3411666666667,27.7841333333333,13.3666333333333,7.28283333333333,9.38033333333333,44.778,42.0368666666667,9.6038,9.69443333333333
11.5913666666667,14.7744666666667,28.1245333333333,13.4404,7.3026,9.39966666666667,45.5900333333333,42.0385,9.8036,9.80953333333333
11.5992333333333,14.7835,28.1536666666667,13.6838333333333,7.4162,9.4136,45.9657333333333,42.2373333333333,9.91316666666667,9.9409
11.6227,14.8765333333333,28.9630666666667,13.6938666666667,7.43783333333333,9.55953333333333,47.1753,42.2456333333333,10.0539333333333,10.0046666666667
11.6270333333333,14.9065666666667,29.9140666666667,13.6992333333333,7.48133333333333,9.56466666666667,47.5089,43.9435333333333,10.0742,10.8668
11.629,14.9346666666667,30.1978333333333,13.7315666666667,7.49223333333333,9.6486,47.5269666666667,43.9933333333333,10.1131333333333,10.9184
11.6387666666667,15.0822333333333,30.2068333333333,13.7557333333333,7.60933333333333,9.74863333333333,47.7895666666667,44.3138,10.1184666666667,10.9661333333333
11.6405,15.6514666666667,30.2377,13.7685333333333,7.82796666666667,9.79106666666667,47.8176333333333,44.7071666666667,10.5766333333333,10.9740666666667
11.6575666666667,15.6621,31.7408666666667,13.8255,7.9813,9.80876666666667,47.9568333333333,44.711,11.0015,10.9866
11.8663666666667,15.6689,31.7473333333333,15.1032666666667,8.02426666666667,10.0104333333333,48.0196666666667,45.5002,11.0438333333333,11.0052333333333
11.8800333333333,16.2917666666667,31.7692,15.1107333333333,8.07323333333333,10.4467333333333,48.0991333333333,45.9807666666667,11.3642,11.0445
11.8826666666667,16.3022666666667,31.7894666666667,15.1216,8.17656666666667,10.5153333333333,48.1227,47.9330666666667,11.4906666666667,11.3428
11.8906666666667,16.3240333333333,34.1177,15.1274333333333,8.67453333333333,10.5583666666667,48.3306666666667,47.937,11.4973666666667,11.348
11.9239666666667,16.4882666666667,34.5273,16.3292666666667,9.1157,10.5799,49.6443666666667,48.5522,11.8041666666667,11.4608333333333
11.9544666666667,16.5231666666667,34.5534666666667,16.5060666666667,9.12106666666667,10.582,49.6721666666667,48.557,11.8158333333333,11.5189666666667
12.1380333333333,16.5350333333333,34.5803666666667,16.5438333333333,9.12436666666667,10.5980333333333,50.4930333333333,48.5793,11.8196666666667,11.8400666666667
12.7816333333333,16.5394666666667,34.6101,16.5487333333333,9.13326666666667,10.6516333333333,50.5367666666667,48.7282,11.8237,11.8507
12.8959666666667,16.5511333333333,34.9579333333333,16.5765,9.14356666666667,10.6572,51.7424666666667,49.8368333333333,11.8276333333333,11.8524333333333
